월,요일,시간대,역명,mean,std
1월,금요일,05-06시,갈마,8.09,4.6004
1월,금요일,05-06시,갑천,1.73,1.0328
1월,금요일,05-06시,구암,5.12,3.7688
1월,금요일,05-06시,노은,4.6,2.2076
1월,금요일,05-06시,대동,10.85,7.2936
1월,금요일,05-06시,대전,11.91,7.6589
1월,금요일,05-06시,반석,10.26,1.8518
1월,금요일,05-06시,서대전네거리,12.86,6.32
1월,금요일,05-06시,시청,9.08,2.338
1월,금요일,05-06시,신흥,6.69,5.1043
1월,금요일,05-06시,오룡,8.03,5.089
1월,금요일,05-06시,용문,12.19,8.6967
1월,금요일,05-06시,월드컵경기장,3.57,1.376
1월,금요일,05-06시,월평,7.2,4.4607
1월,금요일,05-06시,유성온천,16.19,3.5354
1월,금요일,05-06시,정부청사,10.66,6.3821
1월,금요일,05-06시,중구청,3.4,1.0625
1월,금요일,05-06시,중앙로,5.03,0.5187
1월,금요일,05-06시,지족,3.45,1.0967
1월,금요일,05-06시,탄방,6.86,0.7806
1월,금요일,05-06시,판암,9.95,8.3884
1월,금요일,05-06시,현충원,1.51,0.7203
1월,금요일,06-07시,갈마,13.53,7.2506
1월,금요일,06-07시,갑천,4.16,1.853
1월,금요일,06-07시,구암,12.92,3.2434
1월,금요일,06-07시,노은,11.64,4.6229
1월,금요일,06-07시,대동,16.64,11.3707
1월,금요일,06-07시,대전,36.76,19.1441
1월,금요일,06-07시,반석,32.56,4.1685
1월,금요일,06-07시,서대전네거리,20.99,7.3658
1월,금요일,06-07시,시청,24.47,5.7781
1월,금요일,06-07시,신흥,9.22,6.7257
1월,금요일,06-07시,오룡,15.15,6.0696
1월,금요일,06-07시,용문,26.6,7.7218
1월,금요일,06-07시,월드컵경기장,9.76,2.6328
1월,금요일,06-07시,월평,12.93,7.0176
1월,금요일,06-07시,유성온천,35.58,9.4088
1월,금요일,06-07시,정부청사,23.53,11.1256
1월,금요일,06-07시,중구청,8.89,1.5022
1월,금요일,06-07시,중앙로,9.21,1.8266
1월,금요일,06-07시,지족,8.96,1.9699
1월,금요일,06-07시,탄방,19.58,2.1112
1월,금요일,06-07시,판암,19.72,11.2667
1월,금요일,06-07시,현충원,6.47,1.0307
1월,금요일,07-08시,갈마,30.43,21.1617
1월,금요일,07-08시,갑천,12.0,6.1074
1월,금요일,07-08시,구암,31.33,9.5057
1월,금요일,07-08시,노은,43.5,13.0296
1월,금요일,07-08시,대동,52.89,31.747
1월,금요일,07-08시,대전,96.81,33.0909
1월,금요일,07-08시,반석,118.15,45.0831
1월,금요일,07-08시,서대전네거리,61.97,25.286
1월,금요일,07-08시,시청,65.31,29.9671
1월,금요일,07-08시,신흥,31.9,26.0068
1월,금요일,07-08시,오룡,47.54,21.4106
1월,금요일,07-08시,용문,63.26,24.7821
1월,금요일,07-08시,월드컵경기장,32.44,10.2421
1월,금요일,07-08시,월평,34.13,17.2078
1월,금요일,07-08시,유성온천,94.17,40.7267
1월,금요일,07-08시,정부청사,68.18,35.3197
1월,금요일,07-08시,중구청,27.68,5.3632
1월,금요일,07-08시,중앙로,30.14,4.3385
1월,금요일,07-08시,지족,26.89,4.1922
1월,금요일,07-08시,탄방,46.57,8.7817
1월,금요일,07-08시,판암,55.27,33.5337
1월,금요일,07-08시,현충원,18.11,8.1348
1월,금요일,08-09시,갈마,61.91,39.0823
1월,금요일,08-09시,갑천,30.23,12.3028
1월,금요일,08-09시,구암,65.34,20.7385
1월,금요일,08-09시,노은,82.37,20.2661
1월,금요일,08-09시,대동,92.19,41.7829
1월,금요일,08-09시,대전,147.29,32.3085
1월,금요일,08-09시,반석,175.15,60.3567
1월,금요일,08-09시,서대전네거리,146.46,25.0913
1월,금요일,08-09시,시청,234.11,165.4584
1월,금요일,08-09시,신흥,49.05,33.14
1월,금요일,08-09시,오룡,135.57,19.3522
1월,금요일,08-09시,용문,158.96,59.9059
1월,금요일,08-09시,월드컵경기장,69.58,25.5996
1월,금요일,08-09시,월평,79.69,30.9405
1월,금요일,08-09시,유성온천,210.76,61.2818
1월,금요일,08-09시,정부청사,260.6,203.01
1월,금요일,08-09시,중구청,79.63,32.0131
1월,금요일,08-09시,중앙로,100.44,41.76
1월,금요일,08-09시,지족,83.06,38.4253
1월,금요일,08-09시,탄방,152.14,62.2274
1월,금요일,08-09시,판암,90.91,39.3915
1월,금요일,08-09시,현충원,39.64,13.2707
1월,금요일,09-10시,갈마,31.22,13.4757
1월,금요일,09-10시,갑천,10.49,4.418
1월,금요일,09-10시,구암,36.77,11.8991
1월,금요일,09-10시,노은,55.44,13.3359
1월,금요일,09-10시,대동,43.31,17.2013
1월,금요일,09-10시,대전,111.68,20.1987
1월,금요일,09-10시,반석,74.82,28.3889
1월,금요일,09-10시,서대전네거리,64.44,9.2541
1월,금요일,09-10시,시청,108.08,65.4376
1월,금요일,09-10시,신흥,19.8,11.987
1월,금요일,09-10시,오룡,45.5,8.1557
1월,금요일,09-10시,용문,79.95,5.8411
1월,금요일,09-10시,월드컵경기장,30.81,8.7528
1월,금요일,09-10시,월평,37.94,9.4774
1월,금요일,09-10시,유성온천,104.24,8.1501
1월,금요일,09-10시,정부청사,86.25,43.5051
1월,금요일,09-10시,중구청,26.89,8.9945
1월,금요일,09-10시,중앙로,52.48,23.9814
1월,금요일,09-10시,지족,26.55,5.832
1월,금요일,09-10시,탄방,62.5,21.2452
1월,금요일,09-10시,판암,44.07,22.0594
1월,금요일,09-10시,현충원,19.19,3.4978
1월,금요일,10-11시,갈마,26.5,9.186
1월,금요일,10-11시,갑천,8.21,1.8859
1월,금요일,10-11시,구암,35.9,21.4302
1월,금요일,10-11시,노은,50.13,14.9411
1월,금요일,10-11시,대동,33.53,12.07
1월,금요일,10-11시,대전,127.65,19.4069
1월,금요일,10-11시,반석,58.4,20.2365
1월,금요일,10-11시,서대전네거리,59.71,8.8655
1월,금요일,10-11시,시청,73.36,16.1457
1월,금요일,10-11시,신흥,16.78,6.2346
1월,금요일,10-11시,오룡,32.55,7.2054
1월,금요일,10-11시,용문,66.3,7.7964
1월,금요일,10-11시,월드컵경기장,25.38,6.6984
1월,금요일,10-11시,월평,30.67,5.8084
1월,금요일,10-11시,유성온천,89.18,10.5417
1월,금요일,10-11시,정부청사,56.44,11.5888
1월,금요일,10-11시,중구청,21.98,4.567
1월,금요일,10-11시,중앙로,60.31,29.9658
1월,금요일,10-11시,지족,17.28,3.5885
1월,금요일,10-11시,탄방,44.38,4.2105
1월,금요일,10-11시,판암,39.51,11.2927
1월,금요일,10-11시,현충원,19.02,3.3343
1월,금요일,11-12시,갈마,32.67,12.2431
1월,금요일,11-12시,갑천,9.1,1.9143
1월,금요일,11-12시,구암,39.08,18.4391
1월,금요일,11-12시,노은,44.36,7.0617
1월,금요일,11-12시,대동,33.91,8.0211
1월,금요일,11-12시,대전,144.25,25.5679
1월,금요일,11-12시,반석,60.17,16.4524
1월,금요일,11-12시,서대전네거리,64.57,8.0376
1월,금요일,11-12시,시청,82.45,10.53
1월,금요일,11-12시,신흥,16.51,3.9337
1월,금요일,11-12시,오룡,35.42,6.1899
1월,금요일,11-12시,용문,70.59,7.3838
1월,금요일,11-12시,월드컵경기장,23.81,6.2278
1월,금요일,11-12시,월평,40.71,18.9158
1월,금요일,11-12시,유성온천,91.52,9.7832
1월,금요일,11-12시,정부청사,61.7,4.9417
1월,금요일,11-12시,중구청,23.15,2.3623
1월,금요일,11-12시,중앙로,78.35,34.6258
1월,금요일,11-12시,지족,18.73,5.449
1월,금요일,11-12시,탄방,50.18,9.418
1월,금요일,11-12시,판암,38.21,6.0136
1월,금요일,11-12시,현충원,18.93,4.4467
1월,금요일,12-13시,갈마,34.18,3.9662
1월,금요일,12-13시,갑천,8.91,1.2441
1월,금요일,12-13시,구암,39.72,20.0686
1월,금요일,12-13시,노은,50.22,4.7907
1월,금요일,12-13시,대동,38.17,8.7454
1월,금요일,12-13시,대전,140.88,19.0276
1월,금요일,12-13시,반석,65.51,14.4623
1월,금요일,12-13시,서대전네거리,66.77,10.2965
1월,금요일,12-13시,시청,82.26,6.979
1월,금요일,12-13시,신흥,18.95,2.8953
1월,금요일,12-13시,오룡,39.49,5.112
1월,금요일,12-13시,용문,76.51,8.2328
1월,금요일,12-13시,월드컵경기장,26.8,5.2134
1월,금요일,12-13시,월평,39.52,7.6398
1월,금요일,12-13시,유성온천,106.37,9.8464
1월,금요일,12-13시,정부청사,61.26,5.7019
1월,금요일,12-13시,중구청,25.64,4.0264
1월,금요일,12-13시,중앙로,85.88,32.4352
1월,금요일,12-13시,지족,30.14,26.3881
1월,금요일,12-13시,탄방,46.04,6.7838
1월,금요일,12-13시,판암,48.04,12.9118
1월,금요일,12-13시,현충원,21.02,5.5569
1월,금요일,13-14시,갈마,37.25,4.8713
1월,금요일,13-14시,갑천,10.0,1.2338
1월,금요일,13-14시,구암,42.72,21.1289
1월,금요일,13-14시,노은,57.41,9.4309
1월,금요일,13-14시,대동,38.89,7.481
1월,금요일,13-14시,대전,152.16,20.3836
1월,금요일,13-14시,반석,74.15,14.9979
1월,금요일,13-14시,서대전네거리,72.05,5.7837
1월,금요일,13-14시,시청,91.23,13.4043
1월,금요일,13-14시,신흥,20.24,6.2072
1월,금요일,13-14시,오룡,40.83,9.3717
1월,금요일,13-14시,용문,80.6,5.7085
1월,금요일,13-14시,월드컵경기장,30.25,9.5087
1월,금요일,13-14시,월평,41.65,7.084
1월,금요일,13-14시,유성온천,110.68,11.717
1월,금요일,13-14시,정부청사,73.44,7.9219
1월,금요일,13-14시,중구청,28.02,4.0276
